column_name,original_value,dummy_value
campus_id,30019421,19c1007f-6e75-4858-b3b3-0a57f0c53236
campus_id,30025359,2938a27d-03a4-4904-ac79-ec5cf6ba78e9
campus_id,30147437,7b1bbebb-bfaf-4314-b3af-8c15678f9fa6
campus_id,30007439,c8970f3d-aecd-4477-a921-1cc4514dc23d
campus_id,30019275,33657ec0-7c52-4f67-ad3d-2906dc2c7e73
campus_id,30034658,6cb1e0ff-3b53-472e-88af-f71ead910085
campus_id,30242536,096ffb06-200a-48c2-bd0c-b91458342a2f
campus_id,30008740,a153dadb-e887-4721-8952-32a8415e745c
campus_id,30033533,c1aa1c1b-7398-4e76-b11e-a51050a27ffd
campus_id,30033747,845d1f12-45fb-4ec0-967d-6a8baa3c24cf
campus_id,30033888,9f68a9f9-6c38-42fc-928e-b9f843f4313c
campus_id,30042906,f02e4886-ef2b-472e-8e29-1cd94cd59349
campus_id,30070126,c64d3856-9bb9-4d45-8b81-3313bb3411eb
campus_id,30003230,a4c64342-1298-4815-b28d-5db9fa4cffd4
campus_id,30023806,adc3247d-5444-4cd5-a743-97636d430d3d
campus_id,30033317,a06483a9-b07d-4488-93fe-b7331cff4b70
campus_id,30036564,b1f71539-ee4b-47d6-af42-b75a00c76c30
campus_id,30038222,bdfbffcb-d91c-4db0-afe6-50d52e5be9ad
campus_id,30035657,d9c4ed17-f48d-4048-bff4-4b77d0dfb08e
campus_id,30039072,49881931-0327-4fe6-8258-5cad63509247
campus_id,30103565,6f7d6d9d-33cf-4c4f-ad9d-127efb3a1043
campus_id,30033899,5b3af675-33a8-4485-b708-9929d2593f90
campus_id,30204975,66ee37a2-bf41-4b8d-83bb-dc2549391b53
campus_id,30024800,91dbb2d3-9ebf-424b-b5aa-a83dfdf9af24
campus_id,30034142,e0114afb-28d6-473e-9e80-724fb62d4f06
campus_id,30086398,b45f9fb9-c9ab-4232-bc70-aa63d7ed2967
campus_id,30002071,daa0f202-15dc-43b9-b972-12ba2a8f6f30
campus_id,30087377,54e9060e-84c9-4960-9a6c-2574cc849a6b
campus_id,30181782,74b64414-e4a9-4c11-a099-ddf60dfb6ae0
campus_id,30001899,4d703171-d4a5-4fe8-b2e6-a0eb4bb76476
campus_id,30008862,638dbea5-b2c5-43e0-81eb-c94e08fe73d3
campus_id,30025159,dbd28b70-2dbc-459a-b101-b7bdc8448cda
campus_id,30036024,c88eff1b-987d-4fbc-ac7f-1dac72067144
campus_id,30200620,93a2f900-45b1-43d6-a227-1e69aaf056b5
campus_id,30004421,caaf579b-ec97-403c-8b95-4be38092b4a0
campus_id,30008832,e6f9e78f-d928-45e7-9b0f-64d69c12afe6
campus_id,30005231,46ebf12b-d9e8-420e-8d2d-c4e54a15356c
campus_id,30019608,832503b7-a0f6-4758-846b-b615555953ae
campus_id,30022873,c41e5bdd-d8c5-4e0d-a658-d82ec414a058
campus_id,30025865,35e2bb09-15f3-4fbe-a83a-a9febf97ab91
campus_id,30035793,cee4fc44-f691-4363-a8d2-ab3de98f2645
campus_id,30002007,042b9ac3-6f3a-429d-a1cc-8d953c5df1aa
campus_id,30014432,8b6a8232-141e-4fee-a6d3-1f92be592e59
campus_id,30017361,dfd849b3-8718-4500-af6e-cfab77dd144e
campus_id,30056172,67660a69-e25b-4afa-adf3-2b5e4b47388b
campus_id,30014974,19448ae8-22d2-482c-845c-7782e5606251
campus_id,30025261,9987b6e9-7f48-432f-9221-ede037391cc3
campus_id,30037168,5aadce93-61f1-44e3-a961-c4592cdc58d7
campus_id,30023316,5e18d343-3235-481a-be3e-c99616c7b460
campus_id,30034005,397f63b8-f0b0-4a32-b946-492ae9021fe3
campus_id,30042965,03dfd2aa-9995-4d1b-b7c0-cfa604ace343
campus_id,30023052,70a1bb9e-2b12-4d59-8098-aa0d09bd94fb
campus_id,30034586,56d0a738-c43f-4d8b-bd57-0ed5033300ed
campus_id,30000242,04327e66-2b6b-4253-b1d3-56794056ecce
campus_id,30004291,d26a4aef-8acb-49f9-ba5c-284d7ff6b820
campus_id,30033714,bb523a46-cfb4-42fe-8bcb-e9839472e362
campus_id,30042995,1ae721a9-cee7-4e12-800e-bfdab9d61a5c
campus_id,30073510,f85464df-fde3-498e-8d33-61fbd5861344
campus_id,30002304,111f9cca-9d9e-42cc-9260-508619b80f0f
campus_id,30066810,4cf2051c-26ae-451c-b75f-144173275417
campus_id,30053436,a28afd69-7473-4225-bfca-195e0721d94e
campus_id,30213175,8d529429-840c-4a2b-8e27-783ded87e367
campus_id,30026678,ce4aafc1-288d-45ea-9570-3ce48592578a
campus_id,30034293,fa79deea-85ce-41b7-93bc-d7e353813db0
campus_id,30035696,d92e435b-659a-498b-8ade-69b7eb9cef5d
campus_id,30048289,448b28ee-1ae8-4cc3-9541-28b884e7a8f7
campus_id,30006636,eb25b8fe-1494-40a7-a30b-5e7b007b99d4
campus_id,30033110,ef5d5bb2-2f2e-4393-a563-bf6c36d9cdb1
campus_id,30146717,8f340af0-12e9-4ede-a8a2-fddcdc6c3693
campus_id,30003571,3c8f10ef-bb6e-435c-b9ed-a628a35362a3
campus_id,30004999,493b2fa4-ee87-423a-9101-5a4e1713b944
campus_id,30004718,fc9d710e-c71d-4bd5-80ae-2e587929159e
campus_id,30010189,b2f3e450-9e76-4fd9-b6d1-268ac19b2548
campus_id,30026772,d96818f6-efba-440f-8ec2-a34fda4e5be2
campus_id,30036072,56801218-3a10-4b23-b8d7-8aad86289b4c
campus_id,30012438,9fc4fb2f-8dcc-455a-af0f-bbdaf0dcaac1
campus_id,30018216,025c83ea-5edd-4620-b15f-ab5dce11f5d0
campus_id,30007368,d500243a-95c7-4c1b-9f06-b45dc7c24bed
campus_id,30000284,719099c8-6c3c-464a-a116-575c6103edb2
campus_id,30036683,3027df30-597f-47be-8b67-19f28aae85cb
campus_id,30010853,4d758ce5-9840-49e5-9e36-3fa856d8577b
campus_id,30035581,422b0f35-2295-4384-9cc5-73deab698c64
campus_id,30018050,ba56c762-db21-43e3-9a9a-5dabec2b3426
campus_id,30020777,90a796db-6ec4-4b68-8a1b-bc4995f630eb
campus_id,30034492,976aba50-6bf6-4819-8f14-8cb423c6d3fd
campus_id,30036119,072de4d1-c4d0-443e-8079-88c7bc8e3bea
campus_id,30015942,3ed7cb03-0fac-4c63-a119-9dbd7e1249fa
campus_id,30024665,53318704-b5fc-4977-8a17-ab5995bf7d55
campus_id,30019271,b966e843-0ef0-43a0-bc9b-cd4977310e07
campus_id,30054348,acea6a9f-190b-40de-8d97-5d9d7f93d017
campus_id,30373148,f4c5a4d8-d5e2-4af6-bb2e-e87d0bfea844
campus_id,30024903,6a1f54b2-1f1b-4e33-9b90-306280af8a79
campus_id,30043000,8d36f841-cdae-422f-b638-4176a3eb4554
campus_id,30000286,e763eaba-8fe2-4f2b-92c5-7785f98532f3
campus_id,30034158,fa763e8e-41b0-47af-8bb2-1954e22171bd
campus_id,30147326,995a55a6-994e-4595-9e2b-b6115ee0f9f9
campus_id,30036034,0990bab8-6165-4205-92f9-37aebf3c64ff
campus_id,30013060,4787baed-5739-4f9f-970b-0aa0d55f131f
campus_id,30014266,58f88023-c178-46d6-ad51-41259a0a81ad
campus_id,30007765,18ff0027-f364-4cbb-8ccf-866dcabdb0f5
campus_id,30033601,9a4799bc-ff4e-496f-8b76-8c8a4ffe72ae
campus_id,30007804,22b240a6-d208-4abf-81e8-a62747abaeb0
campus_id,30018492,f15b74a7-2cbe-42cb-b056-0540710a36fb
campus_id,30023422,b8ebfd62-4ffb-44f7-b7eb-e315153718b4
campus_id,30011087,a36f5387-0b01-413a-8934-6795b8d7227a
